key;account;raèun
030;Plant;Postrojenja
031;Equipment;Oprema
032;Tools, transportation equipment and vehicle;Alati, pogonski inventar i transportna imovina
033;Not deductable VAT prepayments (for cars, purchases after 1.1.2018. );Pretporez koji se ne može odbiti (kao dio vrijednosti osobnih automobila za nabave od 1.1. 2018.)
034;Agricultural equipment and machinery;Poljoprivredna oprema i mehanizacija
035;Other property, plant and equipment;Ostala materijalna imovina
036;Advance payments for purchase of property, plant and equipment;Predujmovi za materijalnu imovinu
037;Plant and equipment under construction;Materijalna imovina u pripremi
038;Value adjustment of plant and equipment;Vrijednosno usklaðenje postrojenja i opreme
039;Accumulated depreciation of plant and equipment;Akumulirana amortizacija postrojenja i opreme
04;BIOLOGICAL ASSETS;BIOLOŠKA IMOVINA
040;Biological assets- growing crops;Biološka imovina - bilje - višegodišnji nasadi
041;Biological assets- live stock;Biološka imovina - životinje - osnovno stado
046;Advance payments for purchase of biological assets;Predujmovi za biološku imovinu
047;Biological assets in preparation (not put in use);Biološka imovina u pripremi
048;Value adjustment of biological assets;Vrijednosno usklaðenje biološke imovine
049;Accumulated depreciation of biological assets;Akumulirana amortizacija biološke imovine
05;INVESTMENT PROPERTIES;ULAGANJA U NEKRETNINE
050;Investment property-land;Ulaganja u nekretnine - zemljišta
051;Investment property- buildings;Ulaganja u nekretnine - graðevine
056;Advance payments for investment properties;Predujmovi za ulaganja u nekretnine
057;Investments property under construction;Ulaganja u nekretnine u pripremi
058;Value adjustment of investment properties;Vrijednosno usklaðenje ulaganja u nekretnine
059;Accumulated depreciation of buildings;Akumulirana amortizacija ulaganja u graðevine
06;NON-CURRENT FINANCIAL ASSETS;DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine)
060;Shares/stakes in a Group;Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe
061;Loans, deposit etc given to a Group;Dani zajmovi, depoziti i slièno poduzetnicima unutar grupe
062;Shares/stakes in associated undertakings;Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujuæim interesom
063;Loans, deposit etc given to companies in associated undertakings;Dani zajmovi, depoziti i slièno društvima povezanim sudjelujuæim interesom
064;Investments in a securities;Ulaganja u vrijednosne papire (dugotrajne)
065;Loans given to third party;Dani zajmovi, depoziti i sl.
066;Investments in associates accounted for using the equity method;Ulaganja koja se obraèunavaju metodom udjela
067;Other long-term financial assets;Ostala dugotrajna financijska imovina
068;Value adjustment of long-term financial assets;Vrijednosno usklaðenje financijske imovine - dugotrajne (analitika prema oblicima imovine)
069;Unrealized interests on loans etc.;Nezaraðene kamate u kreditima i sl.
07;LONG TERM RECEIVABLES;POTRAŽIVANJA (dulja od jedne godine)
070;Receivables  in a Group;Potraživanja od poduzetnika unutar grupe
071;Receivable from associated undertakings;Potraživanja od društava povezanih sudjelujuæim interesom
072;Long term trade receivables;Potraživanja od kupaca - dugotrajna
073;Receivables from factoring;Potraživanja iz faktoringa
074;Receivables for a given guarantees;Potraživanja za jamèevine
075;Receivables for legal cases in company's favour and other risk receivables;Potraživanja u sporu i rizièna potraživanja
076;Receivables for advance payments for services;Potraživanja za predujmove za usluge
077;Other long-term receivables;Ostala potraživanja - dugotrajna
078;Value adjustment of long-term receivables;Vrijednosno usklaðivanje dugotrajnih potraživanja
079;Receivables for unrealized interests in loans;Potraživanja za nezaraðenu kamatu
08;DEFERRED TAX ASSET;ODGOÐENA POREZNA IMOVINA
080;Deferred temporary tax difference on income tax;Odgoðena privremena razlika poreza na dobitak (analitika po godinama)
081;Other deferred tax asset;Ostala odgoðena porezna imovina
1;CASH, CURRENT FINANCIAL ASSETS, CURRENT RECEIVABLES, PREPAID EXPENSES AND ACCRUED INCOME;NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA, TROŠKOVI I PRIHOD BUDUÆEG RAZDOBLJA
10;CASH IN BANK AND CASH ON HAND;NOVAC U BANKAMA I BLAGAJNAMA
100;Cash in bank (transaction accounts);Transakcijski raèuni u bankama
101;Letter of credit issued in domestic bank;Otvoreni akreditiv u domaæoj banci
102;Cash on hand;Blagajne
103;Foreign currency accounts;Devizni raèuni
104;Letter of credit issued in foreign bank;Otvoreni akreditiv u stranim valutama
105;Foreign cash on hand;Devizna blagajna
106;Cash assigned to foreign currency purchases;Novac za kupnju deviza
108;Other cash;Ostala novèana sredstva
109;Value adjustment of bank deposits;Vrijednosno usklaðenje depozita u bankama
11;CURRENT FINANCIAL ASSETS;KRATKOTRAJNA FINANCIJSKA IMOVINA (do jedne godine)
110;Investments in shares and other securities in a Group;Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe
111;Loans, deposits etc in a Group;Dani zajmovi, depoziti i slièno poduzetnicima unutar grupe
112;Shares in associated undertakings ;Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujuæim interesom
113;Loans, deposits etc to companies in associated undertakings ;Dani zajmovi, depoziti i slièno društvima povezanim sudjelujuæim interesom
114;Investments in securities;Ulaganja u vrijednosne papire
115;Leases given, deposits and other;Dani zajmovi, depoziti i sl.
116;Receivables from investments funds;Potraživanja iz ulaganja u investicijske fondove
117;Other financial assets;Ostala financijska imovina
118;Receivables in dispute (e.g.. disputed, in bankruptcy etc, from financial assets);Potraživanja u sporu (npr. utužena, u predsteèaju ili u steèaju i sl. iz fin. imovine)
119;Value adjustment of current financial assets ( value adjustment by analytics of this group of accounts);Vrijednosno usklaðivanje financijske imovine - kratkotrajne (analitika po otpisima iz ove skupine raèuna)
12;CURRENT RECEIVABLES;POTRAŽIVANJA (KRATKOTRAJNA)
120;Trade receivables;Potraživanja od kupaca
121;Foreign trade customers-EU and foreign;Kupci iz EU i iz treæih zemalja
122;Group companies receivables;Potraživanja od poduzetnika unutar grupe
123;Associated undertakings  interest receivables;Potraživanja od društava povezanih sudjelujuæim interesom
124;Interest receivables;Potraživanja za kamate
125;Receivables for advance payments for services;Potraživanja za predujmove za usluge (koje nisu u svezi sa zalihama i dugotr. imov.)
126;Foreign trade receivables;Potraživanja iz vanjskotrgovaèkog poslovanja (s osnove uvoza odnosno izvoza za tuði raèun)
127;Receivables from other activities;Potraživanja s osnove ostalih aktivnosti
128;Other current receivables;Ostala kratkoroèna potraživanja
129;Value adjustment of receivables;Vrijednosno usklaðenje potraživanja
13;RECEIVABLES FROM EMPLOYEES AND OTHER RECEIVABLES;POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA (kratkotrajna)
130;Receivables from employees;Potraživanja od zaposlenih
131;Receivables from third party;Potraživanja od vanjskih suradnika
133;Receivables from equity owners;Potraživanja od èlanova poduzetnika
134;Receivables in dispute and risky receivables;Potraživanja u sporu i rizièna potraživanja (iz skupine 12 i 13)
135;Receivables for assets held on free-trade zone;Potraživanja za sredstva u slobodnoj zoni
136;Receivables from banks based on customer's loans;Potraživanja za prodaju na potrošaèki kredit
137;Receivables from foreign business units;Potraživanja od poslovnih jedinica u inozemstvu
138;Other receivables from operating activities;Ostala poslovna potraživanja
139;Value adjustment of receivables from employees and other receivables;Vrijednosno usklaðenje potraživanja od zaposlenih, èlanova društva i ostalih potraživanja
14;RECEIVABLES FROM THE GOVERNMENT FOR TAXES, DUTIES AND CONTRIBUTIONS;POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE
140;Value added tax;Porez na dodanu vrijednost
141;Receivables from tax and surtax regarding salaries and other incomes;Potraživanja za porez i prirez na dohodak iz plaæa i drugih primanja
142;Receivables for prepayments made regarding mandatory contributions on personal income tax;Potraživanja za više plaæene doprinose iz plaæa i na plaæe
143;Receivables for corporate income tax and withholding tax;Potraživanja za porez na dobitak i po odbitku
144;Receivables for excise duties and other taxes;Potraživanja za posebne poreze, trošarine i druge poreze od države
145;Receivables for National tourism office fee;Potraživanja za plaæenu èlanarinu turistièkim zajed.
146;Receivables for Croatian Economy Chamber or similar Chambers;Potraživanja za èlanarine komori (HGK ili HOK i dr.)
147;Receivables for duties and prepayments to customs duty;Potraživanja za carinu i više plaæene carinske pristojbe
148;Receivables for County and municipal tax;Potraživanja za županijski i opæinski (gradski) porez
149;Receivables for other not mentioned taxes, contributions and duties;Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe
15;RECEIVABLES FROM GOVERNMENT AND OTHER INSTITUTIONS;OSTALA POTRAŽIVANJA OD DRŽAVNIH I DRUGIH INSTITUCIJA
150;Receivables from Croatian institute for health insurance regarding employee's sick leave payments;Potraživanje za nadoknade bolovanja od HZZO
151;Receivables for Pension insurance institute;Potraživanja od mirovinskog osiguranja
152;Receivables from local government;Potraživanja od lokalne samouprave
153;Receivables for bonuses, premiums and government grants;Potraživ. za regrese, premije, stimulac. i držav. potpore
154;Receivables for Fund for packaging repurchase;Potraživanje od Fonda za otkupljenu ambalažu
155;Other receivables from the Government;Ostala potraživanja od državnih institucija
156;Receivables for more paid fees for disabled person;Potraživanja za više plaæenu naknadu s temelja invaliditeta
159;Value adjustment of receivables from the Government and other institutions;Vrijednosno usklaðenje potraživanja od države i drugih institucija
19;PREPAID EXPENSES AND ACCRUED INCOME;PLAÆENI TROŠKOVI BUDUÆEG RAZDOBLJA I OBRAÈUNANI BUDUÆI PRIHODI
190;Prepaid expenses and accrued income;Unaprijed plaæeni troškovi
191;Accrued income;Obraèunani prihodi (buduæeg razdoblja)
192;PREPAID EXPENSES AND ACCRUED INCOME;Unaprijed plaæeni ovisni troškovi nabave (koji nisu na 651)
193;Accrued interest which relates to future periods;Troškovi kamata iz buduæeg razdoblja
194;Prepaid expenses for concession rights;Unaprijed plaæeni troškovi koncesija (za razdoblje do 12 mj.)
195;Prepaid expenses for franchise fee;Unaprijed plaæene franšize, trgovaèko znakovlje, prava i sl. (do 12 mj.)
196;Prepaid expenses for licences and patents;Unaprijed plaæene licencije i patenti (do 12 mj.)
197;Derivatives- hedging instruments;Derivativ - instrument zaštite
199;Other prepaid expenses;Ostali plaæeni troškovi buduæeg razdoblja
2;CURRENT AND NON-CURRENT LIABILITIES, LONG TERM PROVISIONS, ACCRUED EXPENSES AND DEFERRED INCOME;KRATKOROÈNE I DUGOROÈNE OBVEZE, DUGOROÈNA REZERVIRANJA, ODGOÐENO PLAÆANJE I PRIHODI BUDUÆEG RAZDOBLJA
20;CURRENT LIABILITIES TOWARDS GROUP COMPANIES AND ASSOCIATED UNDERTAKINGS;KRATKOROÈNE OBVEZE PREMA PODUZETNICIMA UNUTAR GRUPE I S OSNOVE UDJELA U REZULTATU (do jedne godine)
200;Liabilities towards related parties;Obveze prema poduzetnicima unutar grupe
201;Liabilities due to share in results;Obveze s osnove udjela u rezultatu
21;CURRENT FINANCIAL LIABILITIES;KRATKOROÈNE FINANCIJSKE OBVEZE
210;Liabilities due to issued cheques;Obveze za izdane èekove
211;Liabilities due to issued promissory notes;Obveze za izdane mjenice
212;Liabilities due to issued securities;Obveze po izdanim vrijednosnim papirima
213;Liabilities towards associated undertakings;Obveze prema društvima povezanim sudjelujuæim interesom
214;Lease liabilities and deposits received;Obveze s osnove zajmova, depozita i sl.
215;Liabilities towards banks and other financial institutions;Obveze prema bankama i drugim financijskim institucijama
216;Liabilities towards credit card institutions;Obveze prema izdavateljima kreditnih kartica (analitika prema kartièarima)
217;Liabilities from discount services;Obveze iz eskontnih poslova
218;Liabilities due to non current assets held for sale (this account relates to due loan liabilities and account payables for asset which is held for sale (acc. 69));Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)
22;ACCOUNT PAYABLES, ADVANCES RECEIVED AND OTHER PAYABLES;OBVEZE PREMA DOBAVLJAÈIMA, ZA PREDUJMOVE I OSTALE OBVEZE
220;Domestic trade payables;Obveze prema dobavljaèima u zemlji (analitika prema dobavljaèima)
221;Account payables from EU and third countries;Dobavljaèi iz EU i inozemstva (analitika prema dobavljaèima)
222;Trade payables- private person;Dobavljaèi fizièke osobe
223;Trade payables for utility services;Dobavljaèi komunalnih usluga
224;Liabilities for not invoiced but received goods and services;Obveze za nefakturirane a preuzete isporuke robe i usluge
225;Liabilities for advances received;Obveze za predujmove
23;LIABILITIES TOWARDS EMPLOYEES AND OTHER LIABILITIES;OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE
230;Liabilities towards employees;Obveze prema zaposlenicima
231;Current liabilities from procurements and grants;Kratkoroène obveze iz nabava i potpora
232;Interests payable;Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)
233;Liabilities for commission or consignment sale of goods;Obveze po obraèunu prodanih dobara primljenih u komisiju ili konsignaciju
234;Liabilities towards insurance companies;Obveze prema osiguravajuæim društvima
235;Liabilities due to operations in free-trade zone;Obveze iz poslovanja u slobodnoj zoni
236;Liabilities due to operations in foreign trade;Obveze iz vanjskotrgovaèkog poslovanja
237;Liabilities towards foreign business units;Obveze prema poslovnim jedinicama u inozemstvu
238;Liabilities due to acquisitions of shares/stakes;Obveze iz stjecanja udjela
239;Other current liabilities;Ostale kratkoroène obveze
24;CURRENT LIABILITIES FOR TAXES, CONTRIBUTIONS AND SIMILAR EXPENSES;KRATKOROÈNE OBVEZE ZA POREZE, DOPRINOSE I slièna davanja
240;Liabilities for value added taxes;Obveze za porez na dodanu vrijednost
241;Liabilities for personal income tax and surtax;Obveze za porez i prirez na dohodak
242;Liabilities for insurance contributions;Obveze za doprinose za osiguranja
243;Income tax payables, tax on investment income and withholding tax;Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku
244;Liabilities for excise duties and other taxes;Obveze za posebne poreze, trošarine i druge poreze prema državi
245;Liabilities for fee to National tourism office;Obveze za èlanarinu turistièkim zajednicama
246;Liabilities for Chamber membership fee;Obveze za èlanarinu komori
247;Liabilities for duties and customs duty;Obveze za carinu i carinske pristojbe
248;Liabilities for a County's and municipal's taxes;Obveze za lokalne poreze i druga davanja
249;Liabilities for other not mentioned taxes, contributions and duties;Ostale obveze javnih davanja
25;LONG TERM LIABILITIES;DUGOROÈNE OBVEZE (za duže od jedne godine)
250;Liabilities towards Group companies ;Obveze prema poduzetnicima unutar grupe
251;Leasing liabilities and liabilities for deposits received;Obveze za zajmove, depozite i sl.
252;Liabilities towards banks and other financial institutions;Obveze prema bankama i dr. financijskim institucijama
253;Long term leasing liabilities;Dugoroène obveze iz financijskog i operativnog lizinga
254;Liabilities for advances received;Obveze za predujmove
255;Trade payables (unpaid long term trade payables);Obveze prema dobavljaèima (neisplaæene dugoroène obveze prema vjerovnicima s osnove poslovanja)
256;Liabilities for long term securities;Obveze po vrijednosnim papirima (dugoroènim)
257;Liabilities towards associated undertakings ;Obveze prema društvima povezanim sudjelujuæim interesom
258;Liabilities towards government;Obveze prema Državi (realizirana jamstva, krediti, plaæene koncesije)
259;Other long term liabilities;Ostale dugoroène obveze
26;DEFERRED TAXES;ODGOÐENI POREZI
260;Deferred tax liabilities;Odgoðena porezna obveza
28;LONG TERM PROVISIONS FOR RISKS AND CHARGES;DUGOROÈNA REZERVIRANJA ZA RIZIKE I TROŠKOVE
280;Provision for employee benefits;Rezerviranja za otpremnine i mirovine
281;Provision for tax liabilities;Rezerviranja za porezne obveze
282;Provisions for legal casec;Rezerviranja za zapoèete sudske sporove
283;Provisions for renewal of natural resources;Rezerviranja za troškove obnavljanja prirodnih bogatstava
284;Provision for risks within warranty period;Rezerviranja za troškove u jamstvenim rokovima
285;Other provisions;Druga rezerviranja
29;ACCRUED EXPENSES AND DEFERRED INCOME;ODGOÐENO PLAÆANJE TROŠKOVA I PRIHOD BUDUÆEG RAZDOBLJA
290;Accrued expenses;Odgoðeno plaæanje troškova
291;Accrued expenses for rights to use;Obraèunani troškovi korištenih prava
292;Accrued expenses for goods purchases;Obraèunani troškovi nabave dobara
293;Deferred income (income which relates to future period);Obraèunani prihodi buduæeg razdoblja
294;Deferred income from government grants;Odgoðeni prihodi iz državnih potpora (HSFI t. 15.37 i MRS 20, t. 12. i 24.)
295;Deferred income;Odgoðeno priznavanje prihoda
296;Deferred income relating to not invoiced but shipped goods and services;Odgoðeni prihod s osnove nefakturiranih isporuka dobara i usluga
297;Unrealized gains on financial assets;Nerealizirani dobitci iz financijske imovine (HSFI 9 i MSFI 9)
298;Deffered invoiced income without delivery;Odgoðeni fakturirani prihod za koji nije nastala isporuka
299;Provision for unused vacation days;Ostala pasivna vremenska razgranièenja
3;RAW MATERIALS, MATERIALS, SPARE PARTS AND SMALL INVENTORY;ZALIHE SIROVINA I MATERIJALA, REZERVNIH DIJELOVA I SITNOG INVENTARA
30;COST OF INVENTORY PURCHASING CALCULATION;OBRAÈUN TROŠKOVA KUPNJE ZALIHA
300;Payables purchase price;Kupovna cijena dobavljaèa
301;Other inventory dependant costs;Ovisni troškovi nabave (u svezi s dovoðenjem na zalihu)
302;Duties and other customs duty;Carina i druge uvozne pristojbe
303;Excise duties which can not be deducted;Posebni porezi (trošarine) koji se ne mogu odbiti
309;Cost of inventory purchasing calculation;Obraèun troškova kupnje
31;RAW MATERIALS;SIROVINE I MATERIJAL NA ZALIHI
310;Raw material on stock;Sirovine i materijal u skladištu
311;Material in processing, finishing and manipulation phases;Materijal u doradi, obradi i manipulaciji
312;Material sent for finishing to partners;Materijal na doradi kod ortaka
313;Materials used in agriculture;Zalihe materijala za poljoprivredu
318;Inventory price adjustment;Odstupanje od cijene zaliha
319;Value adjustment of raw materials;Vrijednosno usklaðenje zaliha sirovina i materijala
32;SPARE PARTS;ZALIHE REZERVNIH DIJELOVA
320;Spare parts on stock;Rezervni dijelovi na zalihi
328;Spare part price adjustment;Odstupanje od cijene rez. dijelova na zalihi
329;Value adjustment of spare parts;Vrijednosno usklaðenje zaliha rezervnih dijelova
35;SMALL INVENTORY ON STOCK AND TIRES;ZALIHE SITNOG INVENTARA I AUTOGUMA
350;Small inventory on stock;Sitan inventar na zalihi
351;Packaging on stock;Ambalaža na zalihi (samo vlastita i višekratna, analitika prema vrstama)
352;Tires on stock;Autogume na zalihi
358;Small inventory's price adjustment;Odstupanje od cijene
359;Value adjustment of small inventory;Vrijednosno usklaðenje zaliha
36;SMALL INVENTORY ON STOCK AND TIRES IN USE;ZALIHE SITNOG INVENTARA I AUTOGUMA U UPORABI
360;Small inventory in use;Sitan inventar u uporabi
361;Packaging in use;Ambalaža u uporabi
362;Tires in use;Autogume u uporabi
363;Small inventory write off;Otpis sitnog inventara
364;Packaging write off;Otpis ambalaže
365;Tires write off;Otpis autoguma
369;Value adjustment of small inventory, packaging and tires;Vrijednosno usklaðenje sitnog inventara, ambalaže i autoguma
37;ADVANCES PAYMENTS FOR RAW MATERIALS, SPARE PARTS, SMALL INVENTORY AND TIRES PURCHASES;PREDUJMOVI DOBAVLJAÈIMA SIROVINA I MATERIJALA, REZERVNIH DIJELOVA, SITNOG INVENTARA I AUTOGUMA
370;Advance payments for material;Predujmovi dobavljaèima materijala
371;Advance payments for spare parts;Predujmovi dobavljaèima rezervnih dijelova
372;Advance payments for small inventory;Predujmovi dobavljaèima sitnog inventara
373;Advance payments to importer for raw materials, spare parts and small inventory;Predujmovi dani uvozniku za nabavu sirovina i materijala, dijelova i inventara
374;Advance payments to foreign suppliers;Predujmovi inozemnim dobavljaèima
379;Value adjustment of advance payments;Vrijednosno usklaðenje danih predujmova
4;COSTS BY NATURE , FINANCIAL AND OTHER EXPENSES;TROŠKOVI PREMA VRSTAMA, FINANCIJSKI I OSTALI RASHODI
40;MATERIAL COST;MATERIJALNI TROŠKOVI
400;Cost of raw material;Troškovi sirovina i materijala (za proizvodnju dobara i usluga)
401;Cost of material used in administration and sale department;Materijalni troškovi administracije, uprave i prodaje
402;Research and development cost;Materijalni troškovi istraživanja i razvoja
403;Packaging cost;Troškovi ambalaže
404;Cost of small inventory, packaging and tires;Trošak sitnog inventara, ambalaže i autoguma
405;Spare parts and material used on maintenance;Rezervni dijelovi i materijal za održavanje
406;Energy used during production of goods and services;Potrošena energija u proizvodnji dobara i usluga
407;Energy - administration and sale department;Potrošena energija u administraciji, upravi i prodaji
408;Costs for samples;Troškovi uzoraka
409;Standard cost adjustments;Odstupanja od standardnog troška
41;OTHER EXTERNAL COSTS (COST OF SERVICES);OSTALI VANJSKI TROŠKOVI (TROŠKOVI USLUGA)
410;Telephone and transportation costs;Troškovi telefona, prijevoza i sl.
411;External service costs used in goods production and providing services;Troškovi vanjskih usluga pri izradi dobara i obavljanju usluga
412;Maintenance and securities services;Usluge održavanja i zaštite (servisne usluge)
413;Vehicle registration and permission costs;Usluge registracije prijevoznih sredstava i troškovi dozvola
414;Leasing costs;Usluge zakupa - leasinga
415;Promotion , sponsorship and fairs costs;Usluge promidžbe, sponzorstva i troškovi sajmova
416;Intellectual services;Intelektualne i osobne usluge
417;Utilities and similar costs;Troškovi komunalnih i sliènih usluga
418;Representation costs - hosting;Usluge reprezentacije - ugošæivanja
419;Other external costs;Troškovi ostalih vanjskih usluga
42;STAFF COSTS-SALARIES;TROŠKOVI OSOBLJA - PLAÆE
420;Wages and salaries;Neto plaæe i nadoknade
421;Income tax and surtax costs;Troškovi poreza i prireza
422;Contributions from salaries costs;Troškovi doprinosa iz plaæa
423;Contributions on salaries costs;Doprinosi na plaæe
424;Gross salaries;Bruto plaæe
43;DEPRECIATION;AMORTIZACIJA
430;Amortisation of intangible assets;Amortizacija nematerijalne imovine
431;Depreciation of property, plant and equipment;Amortizacija materijalne imovine
432;Depreciation of cars and other vehicles for personal transportation;Amortizacija osobnih automobila i dr. sredstava za osobni prijevoz
433;Depreciation of property, plant and - management and selling department;Amortizacija objekata i opreme uprave i prodaje
434;Depreciation surplus due to revaluation of assets;Poveæana amortizacija s temelja revalorizacije
435;Depreciation of biological assets (vineyards, orchards, live stock);Amortizacija biološke imovine (vinogradi, voænjaci, osnovno stado i sl.)
436;Tax not-deductable depreciation;Amortizacija iznad porezno dopuštene
44;VALUE ADJUSTMENT OF NON-CURRENT AND CURRENT ASSETS;VRIJEDNOSNO USKLAÐENJE DUGOTRAJNE I KRATKOTRAJNE IMOVINE
440;Value adjustment of non-current intangible assets (acc. 018);Vrijednosno usklaðenje dugotrajne nematerijalne imovine (018)
441;Value adjustment of property, plant and equipment;Vrijednosno usklaðenje dugotrajne materijalne imovine
442;Value adjustment of non-current receivables (acc. 078);Vrijednosno usklaðenje dugotrajnih potraživanja (veza sa 078)
444;Value adjustment of deposit on banks, bills of exchange, cheques (acc. 109 and acc. 119);Vrijednosno usklaðenje depozita u bankama, mjenica, èekova i sl. (109 i dio 119)
445;Value adjustment of current receivables;Vrijednosno usklaðenje kratkotrajnih potraživanja
446;Value adjustment of inventory;Vrijednosno usklaðenje zaliha (veza s 319, 329, 359 i 369)
447;Value adjustment of advance payments;Vrijednosno usklaðenje danih predujmova (veza s 379)
448;Value adjustment of receivables from bankruptcy;Vrijednosno usklaðenje potraživanja iz predsteèajne nagodbe
449;Inventory writte off;Otpis zaliha materijala
45;PROVISIONS;REZERVIRANJA (v. skupinu 28)
450;Long-term provision for pensions, severance payments and other employment benefits;Troškovi dugoroènog rezerviranja za mirovine, otpremnine i sl. obveze (èl. 11. st. 2. ZoPD-a)
451;Long-term provision for tax obligations;Rezerviranja za porezne obveze
452;Long term provision for litigation losses;Troškovi dugoroènog rezerviranja za gubitke po zapoèetim sudskim sporovima (èl. 11. st. 2. ZoPD-a)
453;Long-term provision for renewal of natural resources;Troškovi dugoroènog rezerviranja za obnovu prirodnog bogatstva (èl. 11. st. 2. ZoPD-a)
454;The cost of long term provision for risks within warranty period;Troškovi dugoroènog rezerviranja za rizike u jamstvenom (garancijskom) roku (èl. 11. st. 2. ZoPD-a)
455;The costs of long-term provision for Company's restructuring;Troškovi dugoroènog rezerviranja za restrukturiranje poduzeæa (MRS 37, t. 72. i HSFI t. 16.22)
456;The costs of provision for onerous contracts;Troškovi rezerviranja po štetnim ugovorima (HSFI 16.21.)
457;The costs of other provision for other risk and charges;Troškovi ostalih dugoroènih rezerviranja i troškovi rizika
46;OTHER OPERATING COSTS;OSTALI TROŠKOVI POSLOVANJA
460;Daily allowances for business trips and other travel expenses;Dnevnice za službena putovanja i putni troškovi
461;Cost reimbursements, allowances and scholarships;Nadoknade troškova, darovi i potpore
462;Severance payments, gifts, performance awards, grants, insurance premiums and jubilee awards;Troškovi èlanova uprave
463;Cost of internal representation and promotion;Troškovi reprezentacije i promidžbe (interne)
464;Insurance premiums;Premije osiguranja
465;Bank charges and costs of payment operations;Bankovne usluge i troškovi platnog prometa
466;Fees, compensations and other expenses;Èlanarine, nadoknade i slièna davanja
467;Taxes which does not depend on results and charges;Porezi koji ne ovise o dobitku i pristojbe
468;Cost of usage rights (excluding leases) and expenses of board members;Troškovi prava korištenja (osim najmova)
469;Other operating costs- intangible;Ostali troškovi poslovanja - nematerijalni
47;FINANCIAL EXPENSES;FINANCIJSKI RASHODI
470;Interest expense from Group companies ;Kamate s poduzetnicima unutar grupe
471;Foreign exchange difference and other expenses in a Group ;Teèajne razlike i drugi rashodi s poduzetnicima unutar grupe
472;Other costs from a Group companies;Ostali troškovi s poduzetnicima unutar grupe
473;Interest expense from operations with third party;Kamate iz odnosa s nepovezanim poduzetnicima
474;Penalty interest;Zatezne kamate
475;Exchange difference on translation of foreign operations with third party;Teèajne razlike iz odnosa s nepovezanim poduzetnicima
